Track 1_cam_1_x,Track 1_cam_1_y,Track 1_cam_2_x,Track 1_cam_2_y,Track 1_cam_3_x,Track 1_cam_3_y
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
423.0469393004114,1198.7608798572417,NaN,NaN,1723.5174468449927,1064.2605002511184
NaN,NaN,NaN,NaN,NaN,NaN
490.69633058984897,1191.6480024764194,NaN,NaN,1748.0766318015544,1063.1198827335693
521.5069444444443,1188.0915637860082,NaN,NaN,1761.4725508687698,1061.4089564572457
551.6477623456789,1184.535125095597,NaN,NaN,1769.286836991312,1060.2683389396966
NaN,NaN,NaN,NaN,NaN,NaN
613.2689900548696,1176.7109599766925,NaN,NaN,1791.6133687700044,1057.416795145824
641.4004200960219,1173.8658090243634,1194.4742048182436,1056.9885458884723,1802.7766346593503,1056.8464863870493
671.5412379972564,1171.731945810117,1214.475056203322,1056.9885458884723,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
723.1155264060355,1164.6190684292947,1256.33730328837,1054.1370020945994,1829.0103094993137,1053.9949425931766
NaN,NaN,1271.686793886221,1052.711230197663,1839.0572487997254,1052.284016316853
NaN,NaN,1288.896828798963,1050.810201001748,NaN,NaN
806.1702246227708,1156.0836155723077,NaN,NaN,1857.4766375171466,1050.0027812817548
828.2734910836763,1151.8158891438143,1323.7820347031698,1047.0081426099177,1867.523576817558,1048.862163764206
851.0465534979423,1148.9707381914855,1340.9920696159115,1045.1071134140027,NaN,NaN
NaN,NaN,1359.5975127648219,1043.2060842180874,NaN,NaN
NaN,NaN,NaN,NaN,1894.873578246456,1044.2996936940094
920.0355366941014,1139.7239975964164,1391.691902196692,1039.8792831252358,1903.2460276634656,1044.2996936940094
941.469007201646,1137.5901343821697,1408.9019371094341,1038.4535112282997,NaN,NaN
