Ankle_cam_1_x,Ankle_cam_1_y,Ankle_cam_2_x,Ankle_cam_2_y,Base of Bill_cam_1_x,Base of Bill_cam_1_y,Base of Bill_cam_2_x,Base of Bill_cam_2_y,Base of Tail_cam_1_x,Base of Tail_cam_1_y,Base of Tail_cam_2_x,Base of Tail_cam_2_y,Breast_cam_1_x,Breast_cam_1_y,Breast_cam_2_x,Breast_cam_2_y,Heel_cam_1_x,Heel_cam_1_y,Heel_cam_2_x,Heel_cam_2_y,Shoulder_cam_1_x,Shoulder_cam_1_y,Shoulder_cam_2_x,Shoulder_cam_2_y,Tip of Bill_cam_1_x,Tip of Bill_cam_1_y,Tip of Bill_cam_2_x,Tip of Bill_cam_2_y,Tip of Tail_cam_1_x,Tip of Tail_cam_1_y,Tip of Tail_cam_2_x,Tip of Tail_cam_2_y,Tip of Wing_cam_1_x,Tip of Wing_cam_1_y,Tip of Wing_cam_2_x,Tip of Wing_cam_2_y,Toe_cam_1_x,Toe_cam_1_y,Toe_cam_2_x,Toe_cam_2_y
NaN,NaN,NaN,NaN,766.7037037037038,720.9351851851852,1601.1481481481483,853.351851851852,893.4629629629632,632.9351851851852,1735.0185185185182,773.6111111111112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,849.4814814814816,694.2777777777778,1682.1666666666667,832.5185185185185,744.1574074074075,722.0555555555555,1578.0,853.351851851852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,745.8703703703703,719.7777777777778,1584.9444444444443,849.8796296296297,876.101851851852,628.3055555555555,1714.185185185185,770.1388888888889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,827.4907407407408,695.4351851851852,NaN,NaN,724.4814814814816,717.4259259259259,1558.3240740740741,848.7222222222222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,723.8796296296297,715.1481481481483,1564.1111111111113,845.25,854.1111111111113,628.3055555555555,1697.9814814814813,767.8240740740741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,703.6481481481482,713.9537037037037,1538.6481481481483,845.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,705.3611111111112,713.9907407407409,1544.4351851851852,840.6203703703704,835.5925925925927,627.1481481481483,1678.3055555555554,763.1944444444446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,683.9722222222223,711.6388888888889,1516.6574074074074,838.3055555555557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,685.6851851851852,709.3611111111112,1521.287037037037,837.1481481481483,818.2314814814815,625.9907407407408,1657.4722222222222,760.8796296296298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,664.2962962962963,707.0092592592594,1498.138888888889,835.9907407407408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,663.6944444444445,704.7314814814815,1499.2962962962963,834.8333333333335,798.5555555555557,625.9907407407408,1638.9537037037035,759.7222222222223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,744.1574074074075,685.0185185185185,NaN,NaN,645.7777777777779,701.2222222222222,1472.675925925926,830.2037037037037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,644.0185185185185,700.101851851852,1480.7777777777778,829.0462962962963,781.1944444444446,621.3611111111111,1618.1203703703702,756.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,721.0092592592594,679.2314814814815,1557.1666666666667,810.5277777777778,623.7870370370372,698.9074074074074,1455.3148148148148,826.7314814814815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,623.1851851851852,693.1574074074075,1457.6296296296296,823.2592592592594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,694.3888888888889,673.4444444444446,1538.6481481481483,801.2685185185185,599.4814814814815,691.962962962963,1432.1666666666667,819.7870370370371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,602.3518518518518,687.3703703703704,1437.953703703704,817.4722222222223,738.3703703703704,621.3611111111111,1575.296296296296,752.7777777777778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,671.2407407407408,671.1296296296296,1512.0277777777778,795.4814814814815,578.6481481481482,687.3333333333333,1412.4907407407409,812.8425925925926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,582.675925925926,686.212962962963,1417.1203703703704,810.5277777777778,717.5370370370372,619.0462962962963,1554.4629629629628,748.1481481481483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,652.7222222222223,666.5,1483.0925925925926,790.851851851852,556.6574074074075,682.7037037037037,1390.5,807.0555555555557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
