Track 02_cam_1_x,Track 02_cam_1_y,Track 02_cam_2_x,Track 02_cam_2_y,Track 03_cam_1_x,Track 03_cam_1_y,Track 03_cam_2_x,Track 03_cam_2_y,Track 04_cam_1_x,Track 04_cam_1_y,Track 04_cam_2_x,Track 04_cam_2_y,Track 05_cam_1_x,Track 05_cam_1_y,Track 05_cam_2_x,Track 05_cam_2_y,Track 06_cam_1_x,Track 06_cam_1_y,Track 06_cam_2_x,Track 06_cam_2_y,Track 07_cam_1_x,Track 07_cam_1_y,Track 07_cam_2_x,Track 07_cam_2_y,Track 08_cam_1_x,Track 08_cam_1_y,Track 08_cam_2_x,Track 08_cam_2_y,Track 1_cam_1_x,Track 1_cam_1_y,Track 1_cam_2_x,Track 1_cam_2_y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
410.0,577.6991150442477,1239.0,691.3274336283187,513.0,544.778761061947,1346.0,664.7787610619469,NaN,NaN,NaN,NaN,579.0,507.6106194690265,1413.0,627.6106194690266,606.0,483.18584070796464,1442.0,605.3097345132744,539.0,496.9911504424779,1373.0,616.9911504424779,520.0,486.37168141592923,1358.0,603.1858407079645,438.0,579.8230088495576,1265.0,693.4513274336283
393.0,574.5132743362832,1219.0,687.0796460176991,491.99999999999994,537.3451327433628,1326.0,658.4070796460177,NaN,NaN,NaN,NaN,560.0,504.42477876106193,1394.0,622.3008849557522,584.0,481.0619469026549,1421.0,598.9380530973452,518.0,492.7433628318584,1353.0,611.6814159292036,502.0,481.0619469026549,1340.0,598.9380530973452,415.0,574.5132743362832,1245.0,689.2035398230088
372.0,569.2035398230089,1199.0,682.8318584070796,476.0,533.0973451327434,1308.0,653.0973451327434,NaN,NaN,NaN,NaN,543.0,502.3008849557522,1375.0,620.1769911504425,567.0,481.0619469026549,1405.0,597.8761061946902,499.0,490.6194690265487,1335.0,608.4955752212389,488.0,477.8761061946903,1321.0,591.5044247787611,398.0,572.3893805309734,1226.0,686.0176991150443
354.0,567.0796460176991,1181.0,678.5840707964602,461.0,532.0353982300885,1291.0,646.7256637168142,NaN,NaN,NaN,NaN,525.0,499.11504424778764,1357.0,618.0530973451328,554.0,481.0619469026549,1392.0,598.9380530973452,482.0,488.49557522123894,1317.0,604.2477876106195,470.0,472.56637168141594,1304.0,588.3185840707964,383.0,568.141592920354,1207.0,680.70796460177
336.0,562.8318584070796,1163.0,674.3362831858407,444.0,526.7256637168142,1273.0,641.4159292035398,453.0,569.2035398230089,1286.0,684.9557522123894,508.99999999999994,498.05309734513276,1341.0,614.8672566371682,540.0,481.0619469026549,1376.0,597.8761061946902,463.0,483.18584070796464,1298.0,598.9380530973452,452.0,471.50442477876106,1289.0,586.1946902654868,365.0,564.9557522123894,1191.0,676.4601769911504
322.0,560.70796460177,1147.0,671.1504424778761,426.0,521.4159292035398,1254.0,632.9203539823009,435.0,564.9557522123894,1267.0,679.646017699115,491.0,492.7433628318584,1324.0,608.4955752212389,522.0,476.8141592920354,1357.0,592.566371681416,444.0,480.0,1282.0,594.6902654867257,434.0,469.3805309734513,1265.0,583.0088495575221,349.0,560.70796460177,1173.0,673.2743362831858
305.0,556.4601769911504,1132.0,666.9026548672566,411.0,517.1681415929204,1238.0,628.6725663716813,418.0,560.70796460177,1248.0,674.3362831858407,473.0,487.43362831858406,1306.0,602.1238938053098,503.0,469.3805309734513,1338.0,585.1327433628319,431.0,474.69026548672565,1264.0,590.4424778761062,416.0,468.3185840707965,1248.0,580.8849557522124,333.0,558.5840707964602,1157.0,667.9646017699115
291.0,554.3362831858408,1116.0,662.6548672566372,394.0,509.7345132743363,1221.0,621.2389380530974,404.0,556.4601769911504,1232.0,670.0884955752213,457.0,482.1238938053097,1289.0,595.7522123893806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,319.0,556.4601769911504,1143.0,663.716814159292
278.0,552.2123893805309,1102.0,659.4690265486726,378.0,502.3008849557522,1206.0,613.8053097345132,391.0,549.0265486725664,1216.0,662.6548672566372,442.0,480.0,1275.0,591.5044247787611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,306.0,552.2123893805309,1128.0,660.5309734513274
266.0,549.0265486725664,1090.0,655.2212389380531,363.0,500.17699115044246,1190.0,610.6194690265487,381.0,544.778761061947,1203.0,655.2212389380531,428.0,477.8761061946903,1261.0,590.4424778761062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,294.0,550.0884955752213,1115.0,657.3451327433628
