Base of Bill_x,Base of Bill_y,Base of Bill_z,Tip of Bill_x,Tip of Bill_y,Tip of Bill_z,Breast_x,Breast_y,Breast_z,Shoulder_x,Shoulder_y,Shoulder_z,Tip of Wing_x,Tip of Wing_y,Tip of Wing_z,Base of Tail_x,Base of Tail_y,Base of Tail_z,Tip of Tail_x,Tip of Tail_y,Tip of Tail_z,Ankle_x,Ankle_y,Ankle_z,Heel_x,Heel_y,Heel_z,Toe_x,Toe_y,Toe_z
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.199770667,1.650229867,-1.31729202,-1.132736928,1.680382217,-1.311152133,NaN,NaN,NaN,-1.480255162,1.779344292,-1.291072599,NaN,NaN,NaN,-1.54557513,1.857260046,-1.049642201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.148487882,1.676157295,-1.301021174,-1.081439525,1.705217786,-1.298226174,NaN,NaN,NaN,-1.433203588,1.729439057,-1.270094547,NaN,NaN,NaN,-1.489747409,1.823391471,-1.031270818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.098146942,1.663557611,-1.29070437,-1.033241618,1.674098624,-1.289134652,NaN,NaN,NaN,-1.380144964,1.775739737,-1.255676382,NaN,NaN,NaN,-1.438507236,1.710741928,-1.022043739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.04657753,1.632254645,-1.278496802,-0.977404438,1.678261108,-1.277841298,NaN,NaN,NaN,-1.325885916,1.763426195,-1.232323339,NaN,NaN,NaN,-1.385784001,1.718834626,-1.000445916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.989489439,1.618647996,-1.261983001,-0.925810888,1.647209305,-1.262350293,NaN,NaN,NaN,-1.267489557,1.789315893,-1.203096316,NaN,NaN,NaN,-1.335848596,1.667603928,-0.989869827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.9404701,1.624522619,-1.253596893,-0.875469872,1.634691436,-1.248780155,NaN,NaN,NaN,-1.226006811,1.818407396,-1.182831593,NaN,NaN,NaN,-1.286751253,1.675157491,-0.978038307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.890158313,1.612217574,-1.24002058,-0.820499114,1.657517827,-1.229567165,NaN,NaN,NaN,-1.172266433,1.768070515,-1.152388429,NaN,NaN,NaN,-1.238816132,1.70250454,-0.961342156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
