Track 02_x,Track 02_y,Track 02_z,Track 03_x,Track 03_y,Track 03_z,Track 04_x,Track 04_y,Track 04_z,Track 05_x,Track 05_y,Track 05_z,Track 06_x,Track 06_y,Track 06_z,Track 07_x,Track 07_y,Track 07_z,Track 08_x,Track 08_y,Track 08_z,Track 1_x,Track 1_y,Track 1_z,Track 09_x,Track_09_y,Track_09_z,Track_10_x,Track_10_y,Track_10_z
0.134181134,-0.634143075,1.436929587,-0.097003856,-0.685423193,1.328740415,-0.185468447,-0.723823028,1.411912888,-0.25158364,-0.688545577,1.207272438,-0.306940036,-0.668244786,1.136354474,-0.120593,-0.617240229,1.208537793,-0.081641889,-0.646035401,1.162656104,0.073093707,-0.668082567,1.439537077,NaN,NaN,NaN,NaN,NaN,NaN
0.206240946,-0.637288029,1.4323341,-0.024374988,-0.649731554,1.324003005,-0.119217524,-0.636293077,1.403601741,-0.186700431,-0.68027544,1.202271215,-0.249773207,-0.646016384,1.14225829,-0.046156438,-0.619612862,1.212559323,-0.013582027,-0.662932485,1.160697847,0.137970744,-0.659964285,1.431652529,NaN,NaN,NaN,NaN,NaN,NaN
0.272475462,-0.64015511,1.433070687,0.045462353,-0.678908883,1.32222957,-0.046317579,-0.626121614,1.404622599,-0.113674819,-0.669791193,1.203364421,-0.188002539,-0.662209028,1.15409581,0.02185614,-0.573101814,1.204847571,0.057278389,-0.615593839,1.153188339,0.20692407,-0.661951244,1.435353599,NaN,NaN,NaN,NaN,NaN,NaN
0.342607984,-0.593162868,1.430880753,0.11572934,-0.668980472,1.320309741,0.044468335,-0.640949603,1.395455627,-0.048599057,-0.621409944,1.203958102,-0.127893466,-0.640657056,1.154498327,0.087616444,-0.615420148,1.205648995,0.12625378,-0.618727394,1.154094417,0.277098095,-0.651949844,1.433392926,NaN,NaN,NaN,NaN,NaN,NaN
0.410758777,-0.608430014,1.428976804,0.187866341,-0.671898512,1.31571874,0.125956892,-0.630160154,1.391288432,0.017400002,-0.664966651,1.199121266,-0.064365888,-0.645424228,1.152285025,0.156836827,-0.619358166,1.200919655,0.193240283,-0.647195614,1.154906728,0.348138377,-0.666626637,1.431634534,NaN,NaN,NaN,NaN,NaN,NaN
0.486576771,-0.634731624,1.424723182,0.258791298,-0.686401028,1.316758867,NaN,NaN,NaN,0.093243366,-0.654394294,1.197544166,-0.001778611,-0.559207666,1.152777888,0.222166739,-0.635752432,1.198821591,0.257675082,-0.637828656,1.155558242,0.411765267,-0.669751373,1.429405496,NaN,NaN,NaN,NaN,NaN,NaN
0.551333682,-0.662212612,1.419876363,NaN,NaN,NaN,NaN,NaN,NaN,0.158618135,-0.631772633,1.201035447,0.054730614,-0.577042656,1.155845451,0.292613953,-0.589562069,1.191270509,0.312801339,-0.605017607,1.155697792,0.485813301,-0.683685679,1.424972851,NaN,NaN,NaN,NaN,NaN,NaN
0.623200143,-0.663046237,1.420896843,NaN,NaN,NaN,NaN,NaN,NaN,0.232362911,-0.646782429,1.199387658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.56151468,-0.672217432,1.423301221,NaN,NaN,NaN,NaN,NaN,NaN
0.697295467,-0.676133676,1.416458562,NaN,NaN,NaN,NaN,NaN,NaN,0.295823058,-0.649995532,1.199990359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.77075072,-0.652577277,1.41742898,NaN,NaN,NaN,NaN,NaN,NaN,0.361164556,-0.627954245,1.200660002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.705797468,-0.675159844,1.414084308,NaN,NaN,NaN,NaN,NaN,NaN
