Track 01_cam_1_x,Track 01_cam_1_y,Track 01_cam_2_x,Track 01_cam_2_y,Track 02_cam_1_x,Track 02_cam_1_y,Track 02_cam_2_x,Track 02_cam_2_y,Track 03_cam_1_x,Track 03_cam_1_y,Track 03_cam_2_x,Track 03_cam_2_y,Track 04_cam_1_x,Track 04_cam_1_y,Track 04_cam_2_x,Track 04_cam_2_y,Track 05_cam_1_x,Track 05_cam_1_y,Track 05_cam_2_x,Track 05_cam_2_y,Track 06_cam_1_x,Track 06_cam_1_y,Track 06_cam_2_x,Track 06_cam_2_y,Track 07_cam_1_x,Track 07_cam_1_y,Track 07_cam_2_x,Track 07_cam_2_y,Track 08_cam_1_x,Track 08_cam_1_y,Track 08_cam_2_x,Track 08_cam_2_y,Track 09_cam_1_x,Track 09_cam_1_y,Track 09_cam_2_x,Track 09_cam_2_y,Track 10_cam_1_x,Track 10_cam_1_y,Track 10_cam_2_x,Track 10_cam_2_y
718.3180592991914,970.5681818181819,1451.1266846361186,962.3863636363636,677.9514824797843,963.409090909091,1410.7601078167115,954.2045454545455,821.822102425876,965.4545454545454,1559.8059299191375,960.340909090909,881.8544474393531,1016.5909090909091,NaN,NaN,957.4123989218328,1037.0454545454545,NaN,NaN,940.8517520215634,920.4545454545455,1677.800539083558,919.4318181818181,982.2533692722373,877.5,1731.622641509434,880.5681818181818,922.2210242587602,907.1590909090909,1665.3800539083559,909.2045454545454,909.800539083558,884.6590909090909,1649.854447439353,885.6818181818181,925.3261455525607,846.8181818181818,1664.345013477089,850.9090909090909
691.4070080862534,969.5454545454545,1427.3207547169811,958.2954545454546,660.355795148248,960.340909090909,1385.9191374663073,949.0909090909091,803.1913746630728,964.4318181818181,1533.9299191374662,956.25,NaN,NaN,NaN,NaN,NaN,NaN,1721.2722371967657,1042.159090909091,922.2210242587602,911.25,1653.9946091644204,916.3636363636364,962.587601078167,874.4318181818182,1707.8167115902963,877.5,900.4851752021564,900.0,1637.433962264151,902.0454545454545,888.0646900269542,883.6363636363637,1630.188679245283,879.5454545454546,901.5202156334232,846.8181818181818,1638.4690026954177,845.7954545454546
671.7412398921833,965.4545454545454,1404.5498652291105,955.2272727272727,634.4797843665768,957.2727272727273,1362.1132075471696,945.0,781.455525606469,959.3181818181819,1512.1940700808625,951.1363636363637,NaN,NaN,NaN,NaN,NaN,NaN,1607.4177897574125,1026.8181818181818,900.4851752021564,908.1818181818182,1630.188679245283,912.2727272727273,935.676549865229,868.2954545454545,1681.9407008086253,869.3181818181819,878.7493261455526,901.0227272727273,1617.7681940700809,896.9318181818181,864.2587601078168,879.5454545454546,1608.4528301886794,872.3863636363636,879.7843665768194,842.7272727272727,1615.6981132075473,840.6818181818182
648.9703504043126,963.409090909091,1381.77897574124,950.1136363636364,612.743935309973,955.2272727272727,1340.377358490566,939.8863636363636,758.6846361185984,955.2272727272727,1490.4582210242588,948.0681818181818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,879.7843665768194,896.9318181818181,1607.4177897574125,902.0454545454545,907.7304582210243,857.0454545454546,1655.0296495956873,857.0454545454546,858.0485175202157,896.9318181818181,1593.9622641509434,893.8636363636364,844.5929919137466,876.4772727272727,1582.576819407008,868.2954545454545,858.0485175202157,839.6590909090909,1596.032345013477,832.5
627.2345013477089,958.2954545454546,1360.043126684636,946.0227272727273,591.0080862533692,952.1590909090909,1318.6415094339623,933.75,NaN,NaN,1468.722371967655,945.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,854.9433962264151,888.75,1582.576819407008,894.8863636363636,877.7142857142857,848.8636363636364,1621.9083557951483,846.8181818181818,838.3827493261456,892.840909090909,1572.2264150943397,887.7272727272727,818.7169811320755,873.4090909090909,1558.7708894878706,866.25,832.1725067385445,834.5454545454545,1569.121293800539,830.4545454545454
606.5336927223719,955.2272727272727,1335.2021563342319,939.8863636363636,570.3072776280324,948.0681818181818,1295.8706199460917,930.6818181818181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,646.9002695417789,991.0227272727273,1359.0080862533691,974.6590909090909,825.9622641509434,883.6363636363637,1555.66576819407,888.75,847.6981132075472,839.6590909090909,1589.822102425876,835.5681818181819,814.5768194070081,886.7045454545455,1549.455525606469,882.6136363636364,798.0161725067385,870.3409090909091,1536.0,863.1818181818181,808.366576819407,829.4318181818181,1546.3504043126686,821.25
586.8679245283018,950.1136363636364,1311.3962264150944,933.75,547.5363881401618,945.0,1279.309973045822,927.6136363636364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,607.5687331536388,996.1363636363636,1309.3261455525608,979.7727272727273,802.156334231806,889.7727272727273,1529.7897574123988,881.5909090909091,820.7870619946092,834.5454545454545,1563.946091644205,829.4318181818181,786.6307277628032,883.6363636363637,1522.544474393531,877.5,772.1401617250674,863.1818181818181,1511.1590296495956,855.0,782.4905660377359,825.340909090909,1519.4393530997304,819.2045454545455
562.0269541778976,949.0909090909091,1287.5902964959569,928.6363636363636,521.6603773584906,937.8409090909091,1250.3288409703505,919.4318181818181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,573.412398921833,1007.3863636363636,1287.5902964959569,990.0,776.2803234501348,880.5681818181818,1505.9838274932615,876.4772727272727,799.0512129380054,832.5,1542.210242587601,827.3863636363636,762.8247978436657,877.5,1496.6684636118598,871.3636363636363,743.1590296495957,864.2045454545454,1482.177897574124,847.8409090909091,751.4393530997305,820.2272727272727,1482.177897574124,819.2045454545455
539.256064690027,941.9318181818182,1263.7843665768194,922.5,501.99460916442047,933.75,1230.6630727762804,915.3409090909091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,616.8840970350404,1022.7272727272727,1335.2021563342319,1009.4318181818182,754.544474393531,876.4772727272727,1483.2129380053907,869.3181818181819,780.4204851752022,830.4545454545454,1520.4743935309973,822.2727272727273,741.088948787062,872.3863636363636,1471.8274932614554,866.25,720.3881401617251,855.0,1452.1617250673855,842.7272727272727,716.2479784366577,816.1363636363637,1457.3369272237196,806.9318181818182
517.5202156334232,935.7954545454545,1242.0485175202155,916.3636363636364,475.0835579514825,928.6363636363636,1200.646900269542,905.1136363636363,630.3396226415094,931.7045454545454,1351.7628032345012,919.4318181818181,NaN,NaN,NaN,NaN,724.5283018867925,1029.8863636363637,NaN,NaN,733.843665768194,873.4090909090909,1464.5822102425875,863.1818181818181,768.0,827.3863636363636,1507.0188679245284,818.1818181818181,716.2479784366577,865.2272727272727,NaN,NaN,694.5121293800539,850.9090909090909,1429.390835579515,837.6136363636363,681.0566037735848,812.0454545454546,1422.1455525606468,798.75
