Ankle_cam_1_x,Ankle_cam_1_y,Ankle_cam_2_x,Ankle_cam_2_y,Base of Bill_cam_1_x,Base of Bill_cam_1_y,Base of Bill_cam_2_x,Base of Bill_cam_2_y,Base of Tail_cam_1_x,Base of Tail_cam_1_y,Base of Tail_cam_2_x,Base of Tail_cam_2_y,Breast_cam_1_x,Breast_cam_1_y,Breast_cam_2_x,Breast_cam_2_y,Heel_cam_1_x,Heel_cam_1_y,Heel_cam_2_x,Heel_cam_2_y,Shoulder_cam_1_x,Shoulder_cam_1_y,Shoulder_cam_2_x,Shoulder_cam_2_y,Tip of Bill_cam_1_x,Tip of Bill_cam_1_y,Tip of Bill_cam_2_x,Tip of Bill_cam_2_y,Tip of Tail_cam_1_x,Tip of Tail_cam_1_y,Tip of Tail_cam_2_x,Tip of Tail_cam_2_y,Tip of Wing_cam_1_x,Tip of Wing_cam_1_y,Tip of Wing_cam_2_x,Tip of Wing_cam_2_y,Toe_cam_1_x,Toe_cam_1_y,Toe_cam_2_x,Toe_cam_2_y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,624.5216049382718,643.8741396263521,1390.2685185185185,766.6934720908231,799.0972222222224,560.3974106850214,1564.4583333333333,690.4162724692526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,755.2121913580248,643.8741396263521,1519.8981481481483,776.1542100283823,593.6574074074076,643.3620124549329,1354.9675925925926,765.5108798486282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,607.6427469135804,642.3377581120944,1371.75,763.7369914853359,786.5586419753088,558.3489019993445,1551.726851851852,688.0510879848628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,738.3333333333335,641.8256309406752,1495.5925925925926,771.4238410596026,575.8140432098767,640.8013765978369,1337.0277777777778,762.554399243141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,590.2816358024693,639.7771222549984,1356.125,761.3718070009461,769.6797839506174,557.8367748279254,1535.5231481481483,686.2771996215705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,714.2206790123458,641.8256309406752,1470.7083333333333,766.6934720908231,560.8641975308643,638.75286791216,1322.5601851851852,758.4153263954588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,575.8140432098767,639.7771222549984,1340.5,757.8240302743613,755.2121913580248,556.3003933136677,1521.6342592592594,682.7294228949858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,543.985339506173,637.2164863979024,1308.0925925925926,754.2762535477767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,558.4529320987656,636.192232055064,1324.2962962962963,753.0936613055818,737.368827160494,557.8367748279254,1506.587962962963,679.7729422894986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,528.5532407407409,634.6558505408063,1292.4675925925926,751.911069063387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,541.5740740740742,634.6558505408063,1305.7777777777778,751.3197729422895,718.0787037037038,555.2761389708294,1490.3842592592591,676.8164616840113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,511.6743827160495,631.5830875122911,1275.6851851851852,748.9545884578997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,524.212962962963,631.5830875122911,1287.2592592592591,746.5894039735099,706.02237654321,550.1548672566373,1473.601851851852,675.0425733207189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,494.3132716049384,628.5103244837759,1258.3240740740741,745.406811731315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,508.780864197531,626.461815798099,1269.898148148148,743.6329233680226,690.5902777777779,548.1063585709604,1456.2407407407409,672.0860927152318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,479.363425925926,626.9739429695182,1239.8055555555557,743.6329233680226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,492.86651234567915,622.3647984267454,1254.273148148148,740.0851466414381,676.1226851851853,544.521468371026,1442.3518518518517,670.903500473037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,605.2314814814816,615.7071451982956,1360.1759259259259,742.4503311258278,463.93132716049394,622.3647984267454,1225.3379629629628,739.4938505203406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
