Track 10_cam_1_x,Track 10_cam_1_y,Track 10_cam_2_x,Track 10_cam_2_y,Track 1_cam_1_x,Track 1_cam_1_y,Track 1_cam_2_x,Track 1_cam_2_y,Track 2_cam_1_x,Track 2_cam_1_y,Track 2_cam_2_x,Track 2_cam_2_y,Track 3_cam_1_x,Track 3_cam_1_y,Track 3_cam_2_x,Track 3_cam_2_y,Track 4_cam_1_x,Track 4_cam_1_y,Track 4_cam_2_x,Track 4_cam_2_y,Track 5_cam_1_x,Track 5_cam_1_y,Track 5_cam_2_x,Track 5_cam_2_y,Track 6_cam_1_x,Track 6_cam_1_y,Track 6_cam_2_x,Track 6_cam_2_y,Track 7_cam_1_x,Track 7_cam_1_y,Track 7_cam_2_x,Track 7_cam_2_y,Track 8_cam_1_x,Track 8_cam_1_y,Track 8_cam_2_x,Track 8_cam_2_y,Track 9_cam_1_x,Track 9_cam_1_y,Track 9_cam_2_x,Track 9_cam_2_y
753.0,938.5,1408.0,832.0,736.0,938.0,1386.3236,829.75226,824.0,920.0,1477.7849,805.9517,848.4929,945.349,1503.2833,844.06573,968.2886,982.7377,1622.8936,883.9599,883.41205,871.81946,1531.1672,774.1647,907.5247,839.02625,1559.9684,740.0051,852.54785,864.1034,1507.0546,762.77814,848.6898,851.5648,1499.6868,747.37286,825.5417,846.7423,1476.2439,744.69366
749.0,930.5,1402.0,825.5,730.0,928.0,1380.1217,824.7133,818.1109,908.5592,1471.5831,800.9127,843.1346,935.97186,1497.2551,836.02814,954.7855,975.9861,1611.3195,873.3503,876.6605,865.0679,1527.1484,766.79694,903.6667,833.2392,1557.959,733.3071,850.61884,856.3873,1501.6962,755.4104,840.97375,842.8843,1497.0076,741.34467,816.8611,840.95526,1468.2064,739.3353
744.5,924.5,1400.0,818.5,725.375,921.4617,1377.0209,817.34863,815.87823,899.07043,1466.1565,797.03656,836.4366,928.60406,1487.8779,827.3208,915.2407,968.2701,1571.7747,873.3503,874.7315,858.31635,1523.7994,762.10834,903.6667,830.3457,1555.2799,730.6279,844.8318,850.6003,1497.6774,749.38226,837.1157,838.0617,1491.6493,734.6467,810.10956,836.1327,1462.1782,735.3165
741.0,919.0,1396.0,814.5,721.0682,914.73224,1375.0828,813.0849,810.8548,890.69794,1463.8308,790.0596,832.41785,921.2363,1476.4915,825.3114,883.41205,972.1281,1534.1589,870.4568,871.83795,852.5293,1521.79,755.4104,904.63116,833.2392,1559.2986,730.6279,840.97375,845.7778,1492.9888,743.35406,832.2932,834.2037,1486.9607,728.6186,807.21606,829.38116,1458.8292,729.2884
737.0,915.0,1394.0,810.0,718.91473,911.7713,1373.9199,807.6583,810.29663,882.88367,1460.7299,787.34625,NaN,NaN,NaN,NaN,829.3997,970.1991,1487.8627,858.8827,869.90894,846.7423,1520.4504,750.05206,902.70215,828.4167,1557.2892,727.9488,835.1867,840.95526,1490.3097,740.0051,828.4352,829.38116,1483.6117,727.279,805.28705,823.5941,NaN,NaN
735.0,910.0,1391.0,804.0,715.41547,908.27203,1371.5942,803.00696,807.5058,877.8602,1456.4662,785.7958,825.05005,911.8592,NaN,NaN,776.35187,955.7315,1439.6373,841.5216,867.01544,840.95526,1517.7712,746.70306,894.9861,819.7361,1549.9215,717.90186,830.3642,837.0972,1486.9607,735.3165,822.64813,824.55865,1480.9325,719.9112,803.35803,818.7716,NaN,NaN
731.64435,907.4899,NaN,NaN,711.10864,902.6193,1368.4933,797.96796,NaN,NaN,NaN,NaN,819.6917,902.48206,NaN,NaN,742.5941,908.4707,1389.483,799.0833,864.1219,838.0617,1515.7618,741.34467,885.34106,811.05554,1540.5443,710.53406,826.50616,832.2747,1484.2815,731.2977,819.75464,821.6651,NaN,NaN,800.4645,820.7006,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,704.9784,911.3642,1358.6188,807.7639,861.2284,833.2392,1511.0734,736.6561,878.5895,805.2685,1533.8464,705.1757,823.6127,827.45215,1480.2627,724.5998,817.8256,816.8426,1474.9043,711.87366,798.5355,816.8426,1453.4708,711.20386
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,699.19135,930.6543,1356.6898,816.44446,861.2284,833.2392,1506.3848,729.9581,874.7315,800.446,1529.8276,701.1569,NaN,NaN,1475.5741,718.57166,NaN,NaN,1472.2251,704.5059,NaN,NaN,1442.0844,703.8361
714.2018,889.6597,1370.6086,785.45807,696.0348,884.31537,1351.4384,780.91296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,720.4105,932.5833,1375.98,824.1605,850.61884,824.55865,1502.366,723.93,870.8735,797.5525,1527.1484,697.8079,NaN,NaN,1472.2251,713.88306,NaN,NaN,1467.5366,697.8079,NaN,NaN,1440.7448,693.7892
709.93805,879.9694,1365.7635,777.3828,693.6122,877.85516,1347.5623,775.09875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,734.8781,925.8318,1388.5186,826.0895,846.7608,817.8071,1497.6774,717.90186,867.9799,794.65894,1525.8088,695.1288,NaN,NaN,1468.2064,707.1851,805.28705,791.76544,1463.5178,689.7704,785.0324,792.7299,1438.0656,686.42145
705.0,873.0,1360.1108,771.7301,687.42114,871.12573,1344.8489,769.6722,NaN,NaN,1425.8447,747.0345,NaN,NaN,NaN,NaN,774.42285,915.2222,1414.5602,820.3025,840.97375,809.1265,1494.3284,712.54346,865.0864,790.8009,1522.4598,693.7892,805.28705,800.446,1460.8386,700.4871,800.4645,787.9074,1455.4802,683.07245,778.2809,784.0494,1432.0374,681.73285
700.5,867.0,NaN,NaN,681.49927,865.74225,1340.1975,765.40845,771.7833,844.3704,1421.9685,744.32117,788.2113,873.6808,1440.9922,775.7465,820.7191,912.3287,1490.7562,798.11884,838.08026,803.3395,1490.3097,707.8549,863.1574,784.0494,1520.4504,689.7704,800.4645,792.7299,1455.4802,694.459,793.71295,781.1559,1450.1218,679.05365,769.6003,781.1559,1426.6791,678.38385
693.5,864.5,1350.1514,762.5781,677.73083,861.97375,1334.3833,759.9819,766.2017,838.78876,1417.3171,740.445,782.1831,868.99225,1439.6527,775.0767,874.7315,899.7901,1528.372,802.94135,830.3642,798.51697,1484.9513,701.1569,860.2639,782.12036,1515.7618,685.08185,794.6775,790.8009,1450.7916,689.7704,786.9614,773.4398,1444.0938,671.6859,768.6358,775.36884,1419.3113,675.0349
687.84406,860.9764,1345.5753,756.1179,670.4631,859.282,1330.1196,755.3305,759.5038,835.998,1411.8906,734.6308,777.49457,863.63385,1430.9453,765.0298,893.0571,912.3287,1554.4136,809.6929,825.5417,794.65894,1480.2627,695.1288,855.44135,780.19135,1507.0546,679.72345,785.0324,785.0139,1444.7635,683.74225,778.2809,769.5818,1438.7354,665.6578,767.6713,771.5108,1413.2831,669.0067
682.8051,858.6507,1342.8835,752.3494,665.0795,856.85944,1325.8558,751.45435,753.36395,826.50916,1407.2393,728.0414,771.4664,859.6151,1427.5963,756.99225,887.2701,911.3642,1555.378,805.8349,818.7901,789.8364,1476.2439,688.4308,850.61884,775.36884,1503.0358,676.3745,778.2809,783.0849,1439.4052,677.71405,772.49384,764.7593,1432.7072,662.3088,752.2392,765.72375,1408.5945,664.988
678.15375,853.9993,1338.3076,748.0426,660.50354,852.8218,1321.9797,746.4154,748.8987,818.1367,1402.2003,721.45197,765.43823,853.5869,1417.5494,748.9547,870.8735,909.4352,1519.1108,801.62634,814.9321,785.9784,1471.5553,683.74225,844.8318,768.6173,1499.017,670.3463,773.4583,776.3333,1433.377,672.3557,765.7423,759.9367,1426.6791,656.2806,747.4167,759.9367,1404.5758,656.2806
676.5,848.5,1334.8083,742.3899,658.081,847.43823,1318.1036,741.76404,741.6425,809.7643,1396.3861,714.4749,754.7215,842.2004,1408.1722,742.2567,813.0031,891.10956,1484.2815,796.93774,809.1451,778.2623,1465.5272,677.04425,839.04474,764.7593,1494.3284,666.3275,767.6713,767.6528,1428.6884,663.6484,760.91974,753.1852,1422.6603,648.91284,736.8071,749.32715,1395.8684,648.24304
673.0,842.5,1330.5015,737.2756,654.8509,839.63214,1313.8398,736.33746,737.17725,800.8337,1390.5719,708.6607,747.35376,835.50244,1400.1346,736.2286,758.9907,865.0679,1410.6039,757.4198,804.3225,771.5108,1458.8292,672.3557,835.1867,758.9722,1491.6493,658.9598,761.8843,758.0077,1422.6603,658.29,NaN,NaN,NaN,NaN,NaN,NaN,1389.1704,640.2055
