Ankle,Base of Tail,Base of bill,Breast,Heel,Shoulder,Tip of Bill,Tip of Tail,Tip of Wing,Toe
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,4.5740766693198855,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,NaN,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,NaN,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,NaN,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,4.5740766693198855,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,2.6152339260364035,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
NaN,NaN,8.628310776688636,NaN,NaN,NaN,7.678818983970306,NaN,NaN,NaN
