Track 02,Track 03,Track 04,Track 05,Track 1
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
4.025999058110752,2.884460049727295,4.597916269439483,3.1324582484774477,4.117370819876851
4.025999058110752,2.884460049727295,4.597916269439483,3.1324582484774477,4.117370819876851
4.025999058110752,2.884460049727295,4.597916269439483,3.1324582484774477,4.117370819876851
4.025999058110752,2.884460049727295,4.597916269439483,3.1324582484774477,4.117370819876851
NaN,2.884460049727295,4.597916269439483,3.1324582484774477,4.117370819876851
4.025999058110752,2.884460049727295,4.597916269439483,3.1324582484774477,4.117370819876851
4.025999058110752,2.884460049727295,4.597916269439483,3.1324582484774477,4.117370819876851
4.025999058110752,2.884460049727295,4.597916269439483,3.1324582484774477,4.117370819876851
NaN,NaN,4.597916269439483,3.1324582484774477,4.117370819876851
NaN,NaN,4.597916269439483,3.1324582484774477,4.117370819876851
4.025999058110752,NaN,4.597916269439483,3.1324582484774477,4.117370819876851
4.025999058110752,NaN,4.597916269439483,3.1324582484774477,4.117370819876851
4.025999058110752,NaN,4.597916269439483,3.1324582484774477,4.117370819876851
NaN,2.884460049727295,4.597916269439483,3.1324582484774477,4.117370819876851
4.025999058110752,2.884460049727295,4.597916269439483,3.1324582484774477,NaN
NaN,2.884460049727295,4.597916269439483,3.1324582484774477,NaN
NaN,2.884460049727295,4.597916269439483,3.1324582484774477,NaN
NaN,2.884460049727295,4.597916269439483,3.1324582484774477,NaN
NaN,2.884460049727295,4.597916269439483,3.1324582484774477,NaN
4.025999058110752,2.884460049727295,4.597916269439483,3.1324582484774477,4.117370819876851
NaN,2.884460049727295,4.597916269439483,3.1324582484774477,4.117370819876851
NaN,NaN,4.597916269439483,3.1324582484774477,4.117370819876851
NaN,NaN,4.597916269439483,3.1324582484774477,4.117370819876851
4.025999058110752,NaN,4.597916269439483,3.1324582484774477,NaN
NaN,NaN,4.597916269439483,3.1324582484774477,NaN
NaN,NaN,4.597916269439483,3.1324582484774477,NaN
4.025999058110752,NaN,4.597916269439483,3.1324582484774477,NaN
4.025999058110752,NaN,4.597916269439483,3.1324582484774477,NaN
4.025999058110752,2.884460049727295,4.597916269439483,3.1324582484774477,NaN
NaN,2.884460049727295,4.597916269439483,3.1324582484774477,NaN
4.025999058110752,2.884460049727295,4.597916269439483,3.1324582484774477,NaN
4.025999058110752,2.884460049727295,4.597916269439483,3.1324582484774477,NaN
4.025999058110752,2.884460049727295,4.597916269439483,3.1324582484774477,NaN
4.025999058110752,2.884460049727295,4.597916269439483,3.1324582484774477,4.117370819876851
4.025999058110752,NaN,4.597916269439483,3.1324582484774477,4.117370819876851
4.025999058110752,NaN,4.597916269439483,3.1324582484774477,4.117370819876851
NaN,NaN,4.597916269439483,3.1324582484774477,NaN
