Ankle_cam_1_x,Ankle_cam_1_y,Ankle_cam_2_x,Ankle_cam_2_y,Base of Bill_cam_1_x,Base of Bill_cam_1_y,Base of Bill_cam_2_x,Base of Bill_cam_2_y,Base of Tail_cam_1_x,Base of Tail_cam_1_y,Base of Tail_cam_2_x,Base of Tail_cam_2_y,Breast_cam_1_x,Breast_cam_1_y,Breast_cam_2_x,Breast_cam_2_y,Heel_cam_1_x,Heel_cam_1_y,Heel_cam_2_x,Heel_cam_2_y,Shoulder_cam_1_x,Shoulder_cam_1_y,Shoulder_cam_2_x,Shoulder_cam_2_y,Tip of Bill_cam_1_x,Tip of Bill_cam_1_y,Tip of Bill_cam_2_x,Tip of Bill_cam_2_y,Tip of Tail_cam_1_x,Tip of Tail_cam_1_y,Tip of Tail_cam_2_x,Tip of Tail_cam_2_y,Tip of Wing_cam_1_x,Tip of Wing_cam_1_y,Tip of Wing_cam_2_x,Tip of Wing_cam_2_y,Toe_cam_1_x,Toe_cam_1_y,Toe_cam_2_x,Toe_cam_2_y
NaN,NaN,NaN,NaN,850.1157407407409,765.5653883972468,1721.3796296296296,899.1958372753076,920.7175925925927,716.401179941003,1798.9259259259256,849.5269631031221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,909.7222222222224,766.7944936086528,1782.1435185185185,902.7436140018922,833.3333333333335,764.3362831858407,1707.4907407407406,895.6480605487228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,839.1203703703706,764.9508357915438,1709.8055555555554,898.6045411542101,908.564814814815,717.015732546706,1786.773148148148,851.8921475875118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,898.726851851852,764.9508357915438,1769.9907407407406,901.5610217596973,820.601851851852,764.3362831858407,1693.0231481481478,897.4219489120152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,825.2314814814816,765.5653883972468,1694.1805555555554,899.1958372753076,896.9907407407409,717.015732546706,1775.7777777777778,851.3008514664144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,883.6805555555557,764.3362831858407,1755.523148148148,900.3784295175024,809.0277777777779,764.9508357915438,1680.8703703703704,896.2393566698203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,813.0787037037039,765.5653883972468,1682.0277777777776,899.1958372753076,885.9953703703706,717.015732546706,1761.8888888888887,850.709555345317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,866.3194444444446,763.1071779744345,1738.7407407407406,899.1958372753076,796.2962962962964,764.3362831858407,1666.9814814814813,895.6480605487228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,799.7685185185187,764.9508357915438,1669.296296296296,899.1958372753076,873.263888888889,715.7866273353,1747.4212962962963,850.709555345317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,853.0092592592594,762.4926253687315,1719.6435185185185,899.1958372753076,784.7222222222224,763.1071779744345,1655.9861111111109,892.1002838221382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,785.8796296296298,763.1071779744345,1656.5648148148148,898.6045411542101,858.7962962962965,716.401179941003,1732.9537037037035,849.5269631031221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,839.6990740740742,764.9508357915438,1706.3333333333333,899.787133396405,771.4120370370371,761.2635201573255,1640.9398148148148,893.8741721854304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,773.7268518518521,764.3362831858407,1642.6759259259256,897.4219489120152,845.4861111111113,717.015732546706,1718.4861111111109,848.9356669820247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,756.9444444444446,761.8780727630285,1626.4722222222222,894.465468306528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,762.1527777777779,764.9508357915438,1628.2083333333333,899.1958372753076,832.7546296296298,717.015732546706,1705.1759259259256,850.709555345317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,744.7916666666667,763.1071779744345,1610.8472222222222,894.465468306528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,747.6851851851853,765.5653883972468,1616.0555555555554,899.1958372753076,820.0231481481483,717.630285152409,1690.708333333333,853.0747398297068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,730.9027777777779,763.1071779744345,1596.3796296296296,893.8741721854304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,733.2175925925927,766.1799410029498,1601.0092592592591,898.6045411542101,806.7129629629632,716.401179941003,1676.2407407407406,852.4834437086092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,793.4027777777779,768.6381514257621,NaN,NaN,717.0138888888889,763.1071779744345,1583.648148148148,893.8741721854304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,720.4861111111112,767.4090462143558,1586.5416666666665,898.6045411542101,791.0879629629632,716.401179941003,1662.3518518518517,850.709555345317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,778.3564814814816,769.8672566371681,1641.5185185185185,908.0652790917692,703.7037037037038,764.9508357915438,1568.6018518518517,894.465468306528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
