Track 02_cam_1_x,Track 02_cam_1_y,Track 02_cam_2_x,Track 02_cam_2_y,Track 03_cam_1_x,Track 03_cam_1_y,Track 03_cam_2_x,Track 03_cam_2_y,Track 04_cam_1_x,Track 04_cam_1_y,Track 04_cam_2_x,Track 04_cam_2_y,Track 05_cam_1_x,Track 05_cam_1_y,Track 05_cam_2_x,Track 05_cam_2_y,Track 06_cam_1_x,Track 06_cam_1_y,Track 06_cam_2_x,Track 06_cam_2_y,Track 07_cam_1_x,Track 07_cam_1_y,Track 07_cam_2_x,Track 07_cam_2_y,Track 1_cam_1_x,Track 1_cam_1_y,Track 1_cam_2_x,Track 1_cam_2_y
622.6726168362293,510.30386654749907,1493.7066393945602,629.9539715693971,722.7328447891264,488.2758273530367,1592.798455999599,613.1779514380644,762.5281333153927,513.2595137843559,1625.1753043552812,637.4420044429878,782.0,432.21238938053096,1650.8840334194992,559.100694977764,804.9278526229276,397.8543986413076,1678.442177259564,522.5275423257301,754.887546088577,429.15746126857374,1631.6535065653902,551.8719621515398,646.0,511.85840707964604,1519.0,631.858407079646
613.8350313404968,507.09319272976677,1485.1791446179764,626.0435355093385,712.8487031162678,484.1595788687645,1582.9466154433185,609.9192547213488,751.1322993866852,505.109341785497,1616.4679569615912,631.0404148002477,775.0,429.0265486725663,1643.8854581609394,554.2412349616093,802.3437632966901,396.1392951061942,1676.347988201426,520.8627484943133,746.4892557783049,424.35517137025624,1620.8326325117705,547.412692960245,638.0,508.67256637168146,1512.0,628.6725663716813
604.9974458447645,503.88251891203447,1477.4268766392638,622.3389118734935,705.6778552359586,480.45495523291953,1574.2253139672666,605.1169648230314,737.1782170250025,498.6879941500324,1600.3928540809327,625.3501128955899,768.0,423.716814159292,1637.9635867883117,549.810550829233,800.2441907191221,394.59570192459216,1673.5216405008537,519.2905702537927,738.5754822167025,421.0964746535407,1611.949825452829,542.9534237689502,632.0,505.4867256637168,1501.0,626.5486725663717
597.5552685852003,499.93092036713324,1468.1241550648087,618.8401006618623,696.3751336615035,474.8980197791521,1566.3115404056641,601.1722266922704,NaN,NaN,NaN,NaN,763.0,421.5929203539823,1632.9838313158748,545.9515678752279,797.4985958099946,394.25268121756943,1670.8298807860228,520.433972610535,729.2081584090914,415.6081433411778,1605.0050853885655,539.3517063452119,624.0,501.23893805309734,1496.0,621.2389380530974
590.1130913256363,496.7202465494009,1462.5037607802421,615.9587267228717,687.460025485984,470.57595887066634,1557.9132500953922,595.6838953799077,NaN,NaN,NaN,NaN,759.0,419.46902654867256,1628.004075843438,543.5218378671505,791.3746141975308,392.4160111438872,1667.599769128226,518.7188690754216,722.7479350934976,412.177936270951,1595.7992671638444,534.7209268004058,615.0,499.11504424778764,1486.903549382716,617.9285935394589
582.2057779873494,493.2625978226123,1454.3638794025937,612.8715403596675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,749.8956297153635,419.2730222027994,1622.2167924565517,541.3779584482587,785.708688259036,393.0521087429901,1661.9470737270815,517.0037655403081,715.3186782805648,408.91923955423556,1589.66205501403,532.3197818512471,607.0,496.9911504424779,1479.8706918724279,615.7947303252122
575.2287368065081,490.05192400488,1446.6116114238812,609.3727291480362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,743.1511565738836,416.80327311223607,1615.4873931694747,539.5199296185526,781.3276748971193,392.8427837867365,1657.1019062403861,516.8608402457154,707.727915884742,405.4890324840087,NaN,NaN,NaN,NaN,NaN,NaN
566.1585832714144,487.5821749143167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,734.7787071568739,414.33352402167276,1606.2008221533085,535.6609466645474,775.2995113168723,392.4160111438872,1648.4882751529276,518.0042426024577,699.1681199915802,402.0588254137819,NaN,NaN,NaN,NaN,NaN,NaN
556.8558616969592,484.3715010965844,1428.9752017723101,603.198356421628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,726.1736897005029,410.38192547677147,1597.4526030801087,531.944889005135,NaN,NaN,NaN,NaN,691.4158520128675,398.9716390505778,NaN,NaN,580.0,488.49557522123894,1453.4137517146776,605.4810581230198
546.3902999256973,480.66687746073944,1420.835320394662,600.7286073310646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,715.9406959686023,405.44242729564485,1588.7043840069086,528.0859060511299,NaN,NaN,NaN,NaN,683.1790672854854,397.42804586897574,NaN,NaN,574.0,485.30973451327435,1444.7064043209875,602.991551039732
540.11096286294,477.9501534611198,1411.3387921207388,597.0239836952197,638.6583651660062,449.16737489850186,1508.6540473139892,573.5590597769447,NaN,NaN,NaN,NaN,706.4054063547858,401.98477856885626,1579.4178129907425,524.655698980903,NaN,NaN,NaN,NaN,673.0042155634251,395.1984112733283,NaN,NaN,564.0,482.1238938053097,1436.6688528806585,599.0794684802797
531.9710814852918,477.2092287339508,1404.1679442404297,594.3484221804428,631.2937105862293,443.6104394447344,1502.0323184155056,567.3846870505364,NaN,NaN,NaN,NaN,697.5678208590534,398.03318002395497,1570.9387698890257,520.5108654377123,NaN,NaN,NaN,NaN,660.4067800980172,392.1112249101242,NaN,NaN,558.0,477.8761061946903,1428.9661994170096,594.8117420517863
524.063768147005,473.5046050981058,1397.578516458524,591.8786730898795,623.5414426075166,439.2883785362486,1493.4725225223438,562.4108867987075,654.1514269729905,469.0510050632728,1527.0501971879285,595.4760278961361,688.4976673239597,391.8588072975467,1562.3251388015672,514.079227181037,NaN,NaN,NaN,NaN,651.1603940882035,388.6046698854713,NaN,NaN,549.0,476.8141592920354,1420.2588520233196,592.3222349684985
517.319295005525,472.5167054618805,1388.275794884069,589.4089239993161,613.8511076341259,435.5837549004037,1485.7202545436312,556.9225554863447,649.0349301070403,465.0994065183715,1520.6871356310012,591.2083014676427,680.3577859463114,385.93140948019476,1553.1731557711425,508.0763648081401,NaN,NaN,NaN,NaN,638.3745354427573,381.8871810396105,NaN,NaN,541.0,474.69026548672565,1413.560892489712,591.2553033613751
510.7948638260174,470.8801227891281,1381.8801738016311,587.7624246056073,604.3545793602029,431.87913126455874,1476.8374474846896,551.4342241739816,638.5693683357782,458.92503379196324,1511.644890260631,584.4510679558616,670.5899282931337,382.2267858443498,1544.1557607264594,503.78860597035657,NaN,NaN,NaN,NaN,630.8376082412311,377.74234749641977,NaN,NaN,534.0,472.56637168141594,1407.1978309327847,589.8327278852107
