Track 02_cam_1_x,Track 02_cam_1_y,Track 02_cam_2_x,Track 02_cam_2_y,Track 03_cam_1_x,Track 03_cam_1_y,Track 03_cam_2_x,Track 03_cam_2_y,Track 04_cam_1_x,Track 04_cam_1_y,Track 04_cam_2_x,Track 04_cam_2_y,Track 05_cam_1_x,Track 05_cam_1_y,Track 05_cam_2_x,Track 05_cam_2_y,Track 06_cam_1_x,Track 06_cam_1_y,Track 06_cam_2_x,Track 06_cam_2_y,Track 07_cam_1_x,Track 07_cam_1_y,Track 07_cam_2_x,Track 07_cam_2_y,Track 08_cam_1_x,Track 08_cam_1_y,Track 08_cam_2_x,Track 08_cam_2_y,Track 1_cam_1_x,Track 1_cam_1_y,Track 1_cam_2_x,Track 1_cam_2_y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
768.0,678.5840707964602,1653.0,811.2771996215704,854.0,653.0973451327434,1742.0,784.7114474929044,885.0,682.8318584070796,1775.0,819.4512771996216,911.0,613.8053097345132,1799.0,749.9716177861874,920.0,588.3185840707964,1818.0,720.3405865657521,872.0,613.8053097345132,NaN,NaN,859.0,601.0619469026549,1751.0,733.6234626300852,791.0,680.70796460177,1676.0,813.3207190160833
745.0,678.5840707964602,1632.0,810.255439924314,833.0,649.9115044247789,1721.0,782.6679280983917,864.0,678.5840707964602,1753.0,813.3207190160833,891.0,613.8053097345132,1780.0,746.9063386944182,902.0,587.2566371681415,1798.0,719.3188268684958,849.0,608.4955752212389,NaN,NaN,837.0,596.8141592920354,1728.0,730.5581835383159,769.0,679.646017699115,1656.0,813.3207190160833
726.0,677.5221238938053,1612.0,807.1901608325448,812.0,647.787610619469,1701.0,780.6244087038789,841.0,674.3362831858407,1730.0,809.2336802270577,870.0,610.6194690265487,1760.0,743.841059602649,886.0,585.1327433628319,1781.0,717.2753074739829,827.0,608.4955752212389,1716.0,737.7105014191108,816.0,595.7522123893806,1706.0,725.449385052034,749.0,679.646017699115,1636.0,810.255439924314
704.0,676.4601769911504,1591.0,804.1248817407758,790.0,645.6637168141593,1679.0,777.5591296121097,821.0,671.1504424778761,1707.0,803.1031220435193,849.0,609.5575221238938,1738.0,741.7975402081363,868.0,584.070796460177,1761.0,714.2100283822137,806.0,608.4955752212389,1694.0,736.6887417218544,796.0,592.566371681416,1684.0,723.4058656575212,727.0,677.5221238938053,1615.0,807.1901608325448
683.0,675.3982300884957,1571.0,802.081362346263,768.0,643.5398230088496,1658.0,773.4720908230842,798.0,667.9646017699115,1680.0,799.0160832544938,829.0,605.3097345132744,1717.0,739.7540208136235,844.0,580.8849557522124,1737.0,711.1447492904447,786.0,605.3097345132744,1675.0,734.6452223273416,772.0,591.5044247787611,1665.0,718.2970671712393,707.0,677.5221238938053,1593.0,804.1248817407758
664.0,673.2743362831858,1549.0,800.0378429517502,747.0,641.4159292035398,1636.0,770.4068117313151,NaN,NaN,NaN,NaN,808.0,604.2477876106195,1694.0,737.7105014191108,823.0,577.6991150442477,1714.0,708.0794701986755,764.0,602.1238938053098,1653.0,730.5581835383159,752.0,590.4424778761062,1642.0,716.2535477767266,686.0,676.4601769911504,1573.0,802.081362346263
641.0,670.0884955752213,1527.0,796.972563859981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,784.0,603.1858407079645,1670.0,733.6234626300852,799.0,573.4513274336284,1692.0,701.9489120151371,741.0,600.0,1630.0,727.4929044465467,730.0,587.2566371681415,1621.0,715.2317880794702,665.0,673.2743362831858,1551.0,797.9943235572374
619.0,669.0265486725664,1507.0,794.9290444654682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,761.0,602.1238938053098,1648.0,730.5581835383159,776.0,572.3893805309734,1668.0,699.9053926206244,717.0,596.8141592920354,NaN,NaN,711.0,584.070796460177,1602.0,710.1229895931882,642.0,672.212389380531,1528.0,794.9290444654682
598.0,667.9646017699115,1482.0,791.8637653736992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,737.0,597.8761061946902,1625.0,724.4276253547777,750.0,570.2654867256638,1644.0,695.8183538315989,695.0,596.8141592920354,NaN,NaN,687.0,579.8230088495576,1581.0,707.0577105014191,618.0,670.0884955752213,1504.0,793.9072847682119
