Track 1_cam_1_x,Track 1_cam_1_y,Track 1_cam_2_x,Track 1_cam_2_y,Track 2_cam_1_x,Track 2_cam_1_y,Track 2_cam_2_x,Track 2_cam_2_y,Track 3_cam_1_x,Track 3_cam_1_y,Track 3_cam_2_x,Track 3_cam_2_y,Track 4_cam_1_x,Track 4_cam_1_y,Track 4_cam_2_x,Track 4_cam_2_y
803.0,642.4778761061947,1804.0,767.3415326395459,815.0,624.424778761062,1819.0,747.9280983916746,832.0,644.6017699115044,1833.0,770.4068117313151,799.0,640.353982300885,1794.7639174668498,765.389908692199
803.0,642.4778761061947,1804.0,767.3415326395459,815.0,624.424778761062,1819.0,746.9063386944182,832.0,644.6017699115044,1833.0,770.4068117313151,798.8015239792906,640.3868670824717,1794.7639174668498,765.1047543128117
799.0,642.4778761061947,1801.0,766.3197729422895,809.0,624.424778761062,1814.4675925925926,749.1024124881741,826.9505315500686,646.3871305856004,1827.0,771.4285714285714,793.3749363941916,640.7984919308989,1790.2986111111113,764.2492911746499
793.0,643.5398230088496,1794.0,768.3632923368023,806.0,624.424778761062,1808.4394290123457,749.5130347944917,821.601466644757,646.6341054946568,1822.0,774.4938505203406,787.754542109625,640.7984919308989,1786.9496313443076,765.6750630715862
789.0,642.4778761061947,1788.0,768.3632923368023,802.0,624.424778761062,1802.8131430041153,749.9236571008094,816.9501058575295,645.8931807674877,1818.0,774.4938505203406,782.7155679234619,640.3868670824717,1782.2052433413355,766.8156805891354
785.0,641.4159292035398,1783.0,768.3632923368023,795.0,625.4867256637168,1797.9906121399176,750.7449017134447,812.2987450703018,645.8931807674877,1811.0,774.4938505203406,778.6456272346378,639.7694298098309,1777.1817736911298,767.1008349685226
778.0,642.4778761061947,1776.0,769.3850520340586,789.0,626.5486725663717,1792.7662037037037,753.2086355513508,NaN,NaN,NaN,NaN,773.2190396495389,640.5926795066853,1772.158304040924,768.8117612448461
773.0,642.4778761061947,1770.0,771.4285714285714,786.0,628.6725663716813,1786.3361625514403,754.0298801639861,NaN,NaN,NaN,NaN,769.3429056601826,641.4159292035397,NaN,NaN
768.0,644.6017699115044,1765.9939879115227,772.2126154852424,780.0,628.6725663716813,1781.1117541152262,754.4405024703037,NaN,NaN,1792.9826031664386,779.5322738182838,763.1410912772126,643.2682410214622,1759.3205482681758,770.2375331417826
765.0,644.6017699115044,1760.6914366140834,773.0680786234043,777.0,629.7345132743363,1775.0835905349795,756.0829916955745,790.204781330971,649.10385458522,1787.9591335162327,779.5322738182838,757.3268902931782,644.5031155667439,1753.4598336762692,771.3781506593316
759.0,644.6017699115044,1755.388885316644,774.2086961409534,772.0,629.7345132743363,1770.2610596707818,756.4936140018922,785.320852504382,649.844779312389,1782.935663866027,780.3877369564457,752.6755295059505,644.5031155667439,1747.878200731596,771.9484594181062
754.0,645.6637168141593,1749.807252371971,774.7790048997279,767.0,629.7345132743363,1764.6347736625514,756.4936140018922,779.7392195597089,649.10385458522,1777.0749492741204,780.9580457152201,746.0861017240449,644.7089279909575,1742.296567786923,772.8039225562679
747.0,645.6637168141593,1743.946537780064,774.7790048997279,761.0,628.6725663716813,1758.204732510288,756.4936140018922,775.0878587724814,648.6099047671073,1770.0979080932789,781.5283544739948,742.0161610352208,644.0914907183167,1735.3195266060816,773.0890769356553
743.0,645.6637168141593,1738.3649048353911,774.4938505203406,758.0,629.7345132743363,1752.5784465020577,756.0829916955745,770.2039299458925,650.8326789486143,1765.0744384430732,781.813508853382,736.7833801495897,645.7379901120255,1730.5751386031095,773.6593856944298
738.0,647.787610619469,1731.946026949017,774.4938505203406,752.0,629.7345132743363,1744.9427726337449,756.9042363082098,765.3200011193035,652.808478221065,1759.7718871456339,781.813508853382,731.9382126628943,646.7670522330935,1725.2725873056702,773.3742313150426
733.0,648.8495575221239,1726.6434756515775,774.4938505203406,746.4455699993332,630.2030998362204,1740.5221193415637,756.0829916955745,762.0640485682442,654.5373025844593,1754.1902542009607,781.813508853382,725.7363982799243,648.0019267783753,1719.1327910665298,772.8039225562679
727.8933470507545,650.0112212753559,1721.0618427069046,774.7790048997279,742.3756293105091,630.2030998362204,1736.9052211934156,755.6723693892568,757.8778238597395,655.2782273116284,1748.8877029035214,782.0986632327692,721.4726508916324,649.2368013236569,1714.946566358025,773.3742313150426
721.8651834705075,651.0781528824791,1715.7592914094653,776.2047767966642,735.9800082280713,632.0554116541429,1730.8770576131687,756.4936140018922,752.7613269937891,657.2540265840789,1743.8642332533154,783.2392807503184,716.0460633065335,649.8542385962977,1709.6440150605854,775.0851575913662
716.5068158436214,651.4337967515203,1709.0613318758574,776.2047767966642,731.9100675392472,633.7019110478518,1726.4564043209875,757.7254809208451,747.8773981672001,657.5010014931353,1738.561681955876,784.0947438884801,710.8132824209025,650.8833007173657,1703.5042188214452,774.800003211979
711.818244170096,652.1450844896025,1702.9215356367172,776.4899311760515,725.5144464568093,634.113535896279,1719.2226080246912,758.9573478397981,743.6911734586954,658.4889011293606,1732.980049011203,784.6650526472547,705.7743082347394,651.0891131415793,1696.2480959933703,775.940620729528
705.1202846364883,652.1450844896025,1695.9444944558759,776.7750855554389,720.2816655711782,634.9367855931334,1714.4000771604938,759.3679701461158,NaN,NaN,NaN,NaN,699.1848804528336,651.2949255657929,1690.1082997542298,775.6554663501407
698.7572230795611,652.5007283586436,1689.246534922268,776.4899311760515,713.1108176908691,635.142598017347,1708.3719135802469,760.1892147587512,NaN,NaN,NaN,NaN,NaN,NaN,1684.247585162323,776.2257751089153
