Base of Bill_x,Base of Bill_y,Base of Bill_z,Tip of Bill_x,Tip of Bill_y,Tip of Bill_z,Breast_x,Breast_y,Breast_z,Shoulder_x,Shoulder_y,Shoulder_z,Tip of Wing_x,Tip of Wing_y,Tip of Wing_z,Base of Tail_x,Base of Tail_y,Base of Tail_z,Tip of Tail_x,Tip of Tail_y,Tip of Tail_z,Ankle_x,Ankle_y,Ankle_z,Heel_x,Heel_y,Heel_z,Toe_x,Toe_y,Toe_z
0.202824435,3.240834347,-0.264183383,0.271150031,3.10987013,-0.255681715,NaN,NaN,NaN,0.031136086,3.390502954,-0.13817588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.218764381,3.244393759,-0.24860683,0.28414008,3.108275919,-0.247699264,NaN,NaN,NaN,0.049638383,3.351880789,-0.138139828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.240856015,3.26318411,-0.241989712,0.301238416,3.152422805,-0.237141656,NaN,NaN,NaN,0.072428494,3.270279301,-0.143714595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.258367604,3.210068157,-0.238852011,0.324745787,3.168548307,-0.232267694,NaN,NaN,NaN,0.093788281,3.308678387,-0.135206171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.278093407,3.214882443,-0.233416181,0.344720099,3.120821623,-0.23021422,NaN,NaN,NaN,0.116541744,3.390141047,-0.121288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.295008106,3.214676396,-0.23265583,0.365375084,3.184872991,-0.220836533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.321315884,3.235561496,-0.224565387,0.379973864,3.128194649,-0.219402919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
