Ankle_x,Ankle_y,Ankle_z,Base of Bill_x,Base of Bill_y,Base of Bill_z,Base of Tail_x,Base of Tail_y,Base of Tail_z,Breast_x,Breast_y,Breast_z,Heel_x,Heel_y,Heel_z,Shoulder_x,Shoulder_y,Shoulder_z,Tip of Bill_x,Tip of Bill_y,Tip of Bill_z,Tip of Tail_x,Tip of Tail_y,Tip of Tail_z,Tip of Wing_x,Tip of Wing_y,Tip of Wing_z,Toe_x,Toe_y,Toe_z
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,-0.16743471554672193,2.475807723285215,-0.9057979516607457,-0.6732388264981184,2.7379936146781025,-0.6448176291998662,NaN,NaN,NaN,NaN,NaN,NaN,-0.5497265265726676,2.6611131239129544,-0.9039959398485813,-0.0670125004705205,2.5003425661366223,-0.9043187600303143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,-0.11410754260515055,2.4786793533495755,-0.8991041037426981,-0.6354970178085889,2.7243087164357047,-0.6405551208924427,NaN,NaN,NaN,NaN,NaN,NaN,-0.48362194634717326,2.754044273381388,-0.885597660143514,-0.014410179136695145,2.4794401090291127,-0.8994615544336753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,-0.06718919008344279,2.432273241448139,-0.8977416685837194,-0.5868245941753589,2.690912276042811,-0.6400713694054421,NaN,NaN,NaN,NaN,NaN,NaN,-0.4103016339022729,2.733549915249562,-0.8763074978214482,0.028466737209742833,2.4545033253291173,-0.8911547026085146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,-0.021999620232021455,2.431382125523043,-0.8893401916560894,-0.544992015106972,2.663185243255333,-0.6337245281770312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07237369237748538,2.4002871364306353,-0.8852151155012905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.02633163525877846,2.3944064659363167,-0.8805144784429505,-0.49806603484978196,2.596918174390515,-0.6325164274435479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1179330819890869,2.3842222730166833,-0.8814381691343541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.0794506264989121,2.39668233765087,-0.8772749004130428,-0.44768438698405105,2.5253628895852507,-0.6319090007797705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.16702655673645864,2.3625698732555125,-0.8765474625208481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.1331263929447619,2.392204897612482,-0.8660971694162338,-0.4018526091230317,2.581525089247262,-0.6238574410025459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.21775498247310104,2.3419118624557274,-0.8699518614242989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.18285280703444884,2.400195965119572,-0.8588748826221685,-0.3519909520674607,2.5908592210567836,-0.6164621999056803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.26987664426628255,2.3724132250615173,-0.864432180988911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.22872862084768933,2.377083417072851,-0.8522883205080859,-0.3106531305445369,2.5632874839594804,-0.616962771046821,NaN,NaN,NaN,NaN,NaN,NaN,-0.08401356541371817,2.6137559085052344,-0.8281888144713787,0.31269220774065637,2.341094416994921,-0.8566938140423678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
