,date,gopro_vid_id,usable_landings,sex,start_frame,impact_frame,end_frame,rsv_match,rsv_vid_id,number_of_conspecifics,notes,descent_start,tau_dot,pearson_coef,tau_pvalues,tau_r2values,distance_after_impact,time_skim,vert_impact_speed,horz_impact_speed,impact_speed,impact_angle,mean_angle
1,20170228,A01e,1.0,Male,745.0,820.0,835.0,0.0,,11.0,,14,0.9814443256143152,0.9811356451584246,8.186077579268997e-44,0.962627154200438,0.9303212983594682,0.5338672005338673,-1.4512751537042765,2.7136058619184924,3.0773131698931415,28.138507360094312,14.230180808215646
2,20170228,A01f,1.0,Female,50.0,137.0,137.0,0.0,,13.0,,22,0.6768075407788919,0.9775204178402981,2.6257324459610566e-44,0.9555461672946722,0.0,0.033366700033366704,-1.8887766893562645,6.6194874885385495,6.8836830253269214,15.925344364207566,12.077002687216304
3,20170305,A03,1.0,Male,4.0,40.0,43.0,0.0,,7.0,,1,0.9410988678405814,0.999838663119302,3.4157157626636133e-59,0.9996773522681931,0.765386592284446,0.13346680013346682,-0.3529564499160546,7.559673601028293,7.567908773870191,2.673162964223081,1.2470917546122213
4,20170305,B01b,1.0,Male,10.0,25.0,50.0,0.0,,3.0,,1,0.9607358639586188,0.9999734351634023,5.07352924744281e-27,0.9999468710324949,1.2700921028647052,0.8675342008675343,-0.7836318139624889,3.8123434846296225,3.8920485177669706,11.615431203751205,11.589394805053725
5,20170312,C01a,1.0,Female,3.0,20.0,35.0,0.0,,4.0,,10,0.9918617831582895,0.9999900856528623,5.944452157832099e-13,0.9999801714040191,1.6767037902746171,0.5338672005338673,-0.9663700018791695,5.758194605909707,5.838722129032996,9.526893547287237,10.49911975125941
6,20170312,C01b,1.0,Male,70.0,115.0,130.0,0.0,,5.0,,1,0.9883429866633291,0.9994586906339924,6.448705711234516e-64,0.998917674283815,1.6909163057280077,0.5338672005338673,-0.808682723900803,5.279741385853589,5.341314150041242,8.708151550625237,11.193392213094416
7,20170317,A01d,1.0,Male,62.0,103.0,115.0,0.0,,27.0,,1,1.0150693529491681,0.991693094614457,1.8501356800933653e-35,0.983455193905999,0.8981271708047732,0.43376710043376715,-0.5509488718376946,4.510759172193151,4.544281347903524,6.963674451848842,15.961054314591188
8,20170317,A01e,1.0,Male,1.0,25.0,34.0,0.0,,33.0,,1,1.0039497239536002,0.9991142924335759,2.1946097786665116e-30,0.9982293693450449,0.8592151112527601,0.33366700033366703,-0.6652528060328718,3.8507406348872393,3.9077825851889956,9.801652912026992,13.518799047643348
9,20170317,A03a,1.0,Male,251.0,293.0,310.0,0.0,,28.0,,3,1.0741537038358466,0.9911762930834064,4.432307253895478e-34,0.9824304439705629,0.6616975650742061,0.6006006006006007,-0.8591408390891304,3.5091515596634997,3.6127922234858105,13.757038621768404,18.052379618943355
10,20170317,A03b,1.0,Male,3.0,51.0,70.0,0.0,,24.0,,18,0.9616998442761743,0.9973222538305684,2.347559383896745e-33,0.9946516779856842,1.4096593261317818,0.6673340006673341,-0.7679162280011139,3.9581898889964777,4.031992377297036,10.97938382200571,2.708204095440491
11,20170317,A05a,1.0,Male,134.0,160.0,190.0,0.0,,5.0,,1,0.8705197885644226,0.9995775521745319,7.476634800624296e-37,0.9991552828112282,2.841307608213699,1.034367701034368,-1.0427163026778774,5.449469370630025,5.548330713764729,10.832200580093113,8.307153178580354
12,20170317,A05b,1.0,Male,275.0,300.0,330.0,0.0,,7.0,,1,0.8886046747988224,0.9999322957088068,4.718115724011911e-44,0.9998645960014849,3.0469147396246212,1.034367701034368,-1.3091088009027076,5.968553663961738,6.11043359281418,12.371034878098655,9.31518242720829
13,20170317,A06,1.0,Male,25.0,67.0,80.0,0.0,,10.0,,11,1.0829188808882007,0.986126935488399,3.591454377262314e-24,0.9724463328957416,2.476532904751676,0.4671338004671339,-1.1470508923669678,8.237997597805347,8.317471380842047,7.92684437065717,15.06559912603903
14,20170317,A07a,1.0,Female,40.0,91.0,115.0,0.0,,7.0,,8,0.8752630510272672,0.9968378172263822,1.0022399398936505e-46,0.993685633852658,2.4201342222168276,0.8341675008341676,-0.828436768115631,5.144049688559417,5.210331532362803,9.148791199450642,8.714207877290049
15,20170317,A07b,1.0,Male,51.0,97.0,119.0,0.0,,8.0,,5,0.7870138815726454,0.9993803450193396,2.6197796533446515e-58,0.9987610740109747,1.9676251325782694,0.7674341007674342,-1.0376099504506235,5.091337572515268,5.1959939074810135,11.519078425129337,6.930538329329359
16,20170317,A08,1.0,Male,31.0,48.0,80.0,0.0,,9.0,,1,1.2093052457561417,0.9928606287047985,2.4877476326363214e-14,0.9857722280320875,1.2930306668714557,1.1011011011011012,-1.444714515981561,3.604658199858907,3.8833955207392785,21.84046795550909,21.040814779684496
17,20170317,A09,1.0,Female,10.0,50.0,60.0,0.0,,12.0,,31,0.9072709228578415,0.9997811143253541,5.107463949563014e-13,0.9995622765616468,0.8505382333995783,0.36703370036703376,-0.26937781998127686,3.470447349904425,3.4808862690924722,4.438426941204374,23.005160865788564
18,20170317,A10b,1.0,Male,69.0,96.0,125.0,0.0,,11.0,,19,0.889802396313854,0.9998583297621705,7.107710516570616e-12,0.9997166795947973,3.382388526477226,1.001001001001001,-0.3096449641971151,5.760487912295032,5.768804121440579,3.0768733605392278,2.386746907329502
19,20170317,A11a,1.0,Male,30.0,70.0,100.0,0.0,,11.0,,6,1.0445291451213319,0.9968721660661064,7.529327506621617e-37,0.9937541154773304,4.156700109968203,1.034367701034368,-0.5050854214742836,6.232851881644237,6.253283446438516,4.632897664081352,8.696643931459878
